Caracteristica,Valor
MaxAbsEStateIndex,0.015805187604496278
MinEStateIndex,0.025473870367326807
SPS,0.017877058300972432
MolWt,0.033979064247184956
FpDensityMorgan3,0.014814433651667337
BCUT2D_MWHI,0.014757116777985612
AvgIpc,0.014067663094749636
BalabanJ,0.01332111347109265
Ipc,0.0
Kappa3,0.02943480459658458
PEOE_VSA1,0.08552773719030751
PEOE_VSA10,0.07561133960800799
PEOE_VSA11,0.005035602506793204
PEOE_VSA12,0.004948926187511671
PEOE_VSA13,0.005102045119367473
PEOE_VSA14,0.007078661066004266
PEOE_VSA2,0.010663163153912152
PEOE_VSA3,0.01025354466389972
PEOE_VSA4,0.0036681165710095755
PEOE_VSA5,0.008393765143747475
PEOE_VSA6,0.014364871142426693
PEOE_VSA7,0.020093020309630557
PEOE_VSA8,0.01169286018611736
PEOE_VSA9,0.024547207536918077
SMR_VSA10,0.018125550847292872
SMR_VSA2,0.0008110978165396197
SMR_VSA3,0.011696941885067615
SMR_VSA4,0.00789765958313313
SMR_VSA6,0.011421110808404565
SMR_VSA7,0.009071030335186952
SMR_VSA9,0.0056485243000087785
SlogP_VSA1,0.010153999594344293
SlogP_VSA10,0.005342846527963108
SlogP_VSA12,0.004106641584596595
SlogP_VSA3,0.022508183139401845
SlogP_VSA7,0.0014303847247991255
SlogP_VSA8,0.0030542393152821093
EState_VSA11,0.001145006345933893
EState_VSA2,0.010928370170846333
EState_VSA3,0.012282632123205938
EState_VSA4,0.008945033424445513
EState_VSA5,0.008595145135323388
EState_VSA6,0.010970754266620746
EState_VSA7,0.007534471642612164
EState_VSA8,0.008446387192179487
EState_VSA9,0.0072672911269584094
VSA_EState1,0.010415804852727166
VSA_EState3,0.03626985398184689
VSA_EState4,0.013440214227589564
VSA_EState5,0.03328587043942751
VSA_EState6,0.016752321497791038
VSA_EState7,0.01947348211511555
VSA_EState8,0.011332850764165648
VSA_EState9,0.011183789575834447
NumAliphaticCarbocycles,0.005406402256733591
NumAliphaticHeterocycles,0.011511447369072472
NumAromaticHeterocycles,0.00559101125520692
NumRotatableBonds,0.010865118361429262
RingCount,0.005509494136457521
MolLogP,0.04834334445403082
fr_Al_COO,0.03650767971969412
fr_Ar_OH,0.0028251774349329186
fr_NH0,0.00535137605766612
fr_NH1,0.005368483215039174
fr_NH2,0.0035352570518870875
fr_Ndealkylation1,0.0014366191767873722
fr_Ndealkylation2,0.0009260286281367776
fr_alkyl_halide,0.008283792212571679
fr_allylic_oxid,0.0029447342680622842
fr_amide,0.008084364436739797
fr_aniline,0.001362433037152559
fr_aryl_methyl,0.0019261716554903354
fr_bicyclic,0.00373423906176609
fr_ester,0.0021336806407150737
fr_ether,0.0028652366295513643
fr_ketone,0.0016588288400859678
fr_methoxy,0.001286647707373787
fr_para_hydroxylation,0.0009191120410762561
fr_piperdine,0.0041008438761250335
fr_sulfide,0.01079989744780401
fr_unbrch_alkane,0.0006739171860533074
