,Molecule ChEMBL ID,Standard Value_EGFR,Standard Value_MAPK1,Standard Value_SRC,Actividad_EGFR,Actividad_MAPK1,Actividad_SRC
13,CHEMBL388978,78.0,370.0,9.7,1,1,1
27,CHEMBL4873571,1000.0,1000.0,1000.0,1,1,1
37,CHEMBL4474690,1000.0,1000.0,1000.0,1,1,1
47,CHEMBL3798631,1000.0,53.1,1000.0,1,1,1
62,CHEMBL1090360,610.0,1000.0,310.0,1,1,1
71,CHEMBL3798257,1000.0,16.7,1000.0,1,1,1
80,CHEMBL4062877,5.3,574.7,5.7,1,1,1
82,CHEMBL4105329,3.1,960.2,3.9,1,1,1
83,CHEMBL4067871,4.2,1000.0,6.4,1,1,1
87,CHEMBL4075917,8.1,1000.0,6.0,1,1,1
91,CHEMBL4568087,340.0,230.0,3.0,1,1,1
94,CHEMBL4097778,1000.0,1000.0,1000.0,1,1,1
